Year,Month,lag_1,lag_12,roll3,y,fecha
2015.0,1.0,2093.485,1821.1100000000004,2337.010333333333,2157.7490000000003,2015-01-31
2015.0,2.0,2157.7490000000003,1974.47,2007.2913333333333,1831.532,2015-02-28
2015.0,3.0,1831.532,1606.7200000000005,2027.5886666666665,1974.076,2015-03-31
2015.0,4.0,1974.076,1429.6750000000002,1987.7856666666667,1723.885,2015-04-30
2015.0,5.0,1723.885,1506.303,1843.1643333333334,1644.5770000000002,2015-05-31
2015.0,6.0,1644.5770000000002,1390.2050000000002,1780.8460000000002,1705.608,2015-06-30
2015.0,7.0,1705.608,1332.37,1691.3566666666666,1523.048,2015-07-31
2015.0,8.0,1523.048,1499.02,1624.411,1659.597,2015-08-31
2015.0,9.0,1659.597,1814.594,1629.4176666666665,1679.3670000000002,2015-09-30
2015.0,10.0,1679.3670000000002,3146.906,1620.6706666666666,2529.576000000001,2015-10-31
2015.0,11.0,2529.576000000001,1770.64,1956.1800000000003,2189.638,2015-11-30
2015.0,12.0,2189.638,2093.485,2132.8603333333335,2272.8300000000004,2015-12-31
2016.0,1.0,2272.8300000000004,2157.7490000000003,2330.681333333334,2451.376,2016-01-31
2016.0,2.0,2451.376,1831.532,2304.614666666667,2232.4000000000005,2016-02-29
2016.0,3.0,2232.4000000000005,1974.076,2318.868666666667,2250.169000000001,2016-03-31
2016.0,4.0,2250.169000000001,1723.885,2311.3150000000005,2173.573000000001,2016-04-30
2016.0,5.0,2173.573000000001,1644.5770000000002,2218.714000000001,1977.021,2016-05-31
2016.0,6.0,1977.021,1705.608,2133.5876666666672,1755.231,2016-06-30
2016.0,7.0,1755.231,1523.048,1968.6083333333336,1609.081,2016-07-31
2016.0,8.0,1609.081,1659.597,1780.4443333333331,1700.0550000000003,2016-08-31
2016.0,9.0,1700.0550000000003,1679.3670000000002,1688.1223333333335,2049.877,2016-09-30
2016.0,10.0,2049.877,2529.576000000001,1786.337666666667,2710.141000000001,2016-10-31
2016.0,11.0,2710.141000000001,2189.638,2153.3576666666672,1962.7660000000003,2016-11-30
2016.0,12.0,1962.7660000000003,2272.8300000000004,2240.9280000000003,2646.011000000001,2016-12-31
2017.0,1.0,2646.011000000001,2451.376,2439.639333333334,1.0,2017-01-31
2017.0,2.0,1.0,2232.4000000000005,1536.592333333334,1165.1570000000002,2017-02-28
2017.0,3.0,1165.1570000000002,2250.169000000001,1270.7226666666672,1406.855,2017-03-31
2017.0,4.0,1406.855,2173.573000000001,857.6706666666668,1369.925,2017-04-30
2017.0,5.0,1369.925,1977.021,1313.979,1369.485,2017-05-31
2017.0,6.0,1369.485,1755.231,1382.0883333333331,1326.936,2017-06-30
2017.0,7.0,1326.936,1609.081,1355.4486666666664,1260.5259999999998,2017-07-31
2017.0,8.0,1260.5259999999998,1700.0550000000003,1318.9823333333331,1302.4199999999998,2017-08-31
2017.0,9.0,1302.4199999999998,2049.877,1296.6273333333331,1660.8410000000003,2017-09-30
2017.0,10.0,1660.8410000000003,2710.141000000001,1407.929,2050.1270000000004,2017-10-31
2017.0,11.0,2050.1270000000004,1962.7660000000003,1671.1293333333335,1705.5790000000002,2017-11-30
2017.0,12.0,1705.5790000000002,2646.011000000001,1805.515666666667,1887.103,2017-12-31
2018.0,1.0,1887.103,1.0,1880.9363333333338,1985.701,2018-01-31
2018.0,2.0,1985.701,1165.1570000000002,1859.461,2203.248000000001,2018-02-28
2018.0,3.0,2203.248000000001,1406.855,2025.3506666666672,2156.8470000000007,2018-03-31
2018.0,4.0,2156.8470000000007,1369.925,2115.265333333334,1934.48,2018-04-30
2018.0,5.0,1934.48,1369.485,2098.191666666667,1675.1300000000003,2018-05-31
2018.0,6.0,1675.1300000000003,1326.936,1922.1523333333337,1414.349,2018-06-30
2018.0,7.0,1414.349,1260.5259999999998,1674.6530000000002,1563.479,2018-07-31
2018.0,8.0,1563.479,1302.4199999999998,1550.986,1611.907,2018-08-31
2018.0,9.0,1611.907,1660.8410000000003,1529.9116666666669,1981.3740000000005,2018-09-30
2018.0,10.0,1981.3740000000005,2050.1270000000004,1718.92,2221.3350000000005,2018-10-31
